,country_code,file,details
f,CA,"[{'v': 'awscli-1.7.39.tar.gz'}, {'v': 'awscli'}, {'v': '1.7.39'}, {'v': 'sdist'}]",
f,AP,"[{'v': 'AX3_model_extras-1.2.3-py3-none-any.whl'}, {'v': 'ax3-model-extras'}, {'v': '1.2.3'}, {'v': 'bdist_wheel'}]",
f,US,"[{'v': 'Ax_Metrics-0.9.1.tar.gz'}, {'v': 'ax-metrics'}, {'v': '0.9.1'}, {'v': 'sdist'}]",
f,AP,"[{'v': 'ayda_tools-0.4.4-py3-none-any.whl'}, {'v': 'ayda-tools'}, {'v': '0.4.4'}, {'v': 'bdist_wheel'}]",
f,AP,"[{'v': 'ax3_redactor-1.0.9-py3-none-any.whl'}, {'v': 'ax3-redactor'}, {'v': '1.0.9'}, {'v': 'bdist_wheel'}]",
f,FR,"[{'v': 'awsume-4.3.0a3.tar.gz'}, {'v': 'awsume'}, {'v': '4.3.0a3'}, {'v': 'sdist'}]",
f,,"[{'v': 'awsume-4.2.7-py3-none-any.whl'}, {'v': 'awsume'}, {'v': '4.2.7'}, {'v': 'bdist_wheel'}]",
f,,"[{'v': 'azf_wsgi-0.3.1-py3-none-any.whl'}, {'v': 'azf-wsgi'}, {'v': '0.3.1'}, {'v': 'bdist_wheel'}]",
f,AP,"[{'v': 'ayda_tools-0.4.3-py3-none-any.whl'}, {'v': 'ayda-tools'}, {'v': '0.4.3'}, {'v': 'bdist_wheel'}]",
f,CA,"[{'v': 'awscli-1.9.13.tar.gz'}, {'v': 'awscli'}, {'v': '1.9.13'}, {'v': 'sdist'}]",
f,US,"[{'v': 'azure_applicationinsights-0.1.0-py2.py3-none-any.whl'}, {'v': 'azure-applicationinsights'}, {'v': '0.1.0'}, {'v': 'bdist_wheel'}]",
f,US,"[{'v': 'azure-4.0.0-py2.py3-none-any.whl'}, {'v': 'azure'}, {'v': '4.0.0'}, {'v': 'bdist_wheel'}]",
f,US,"[{'v': 'azure_batch-4.1.3-py2.py3-none-any.whl'}, {'v': 'azure-batch'}, {'v': '4.1.3'}, {'v': 'bdist_wheel'}]",
f,AP,"[{'v': 'awscli-1.18.17-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.17'}, {'v': 'bdist_wheel'}]",
f,US,"[{'v': 'awscli-1.18.17-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.17'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '38.4.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.1.0.tar.gz'}, {'v': 'awscli'}, {'v': '1.1.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '36.2.7'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.17-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.17'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '38.4.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.17-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.17'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '38.4.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
